cif,formula,energy,formation_energy,formation_energy_per_atom,uid
Ca1Cr2F12_2_2821.vasp,Ca1Cr2F12,-41.91103251,-39.58385533,-2.6389236886666665,2821
Ca1Cu1I1Br1_6_2823.vasp,Ca1Cu1I1Br1,-1.99271698,-0.5544976024999999,-0.1386244006249999,2823
Ca1Cu1S2Br2_1_2824.vasp,Ca1Cu1S2Br2,-9.4085546,-5.127879475,-0.8546465791666668,2824
Ca1Cu1Se1Cl1_156_2825.vasp,Ca1Cu1Se1Cl1,-6.30224908,-2.778370310625,-0.69459257765625,2825
Ca1Cu2F12_115_2826.vasp,Ca1Cu2F12,-17.36599068,-15.87927273,-1.0586181819999998,2826
Ca1Cu2H12_115_2827.vasp,Ca1Cu2H12,-32.4834203,-11.52100583,-0.7680670553333333,2827
Ca1Cu2O8_89_2828.vasp,Ca1Cu2O8,-32.28268206,-20.30515847,-1.8459234972727272,2828
Ca1Cu2S8_89_2829.vasp,Ca1Cu2S8,-22.78561702,-9.573678609999998,-0.8703344190909089,2829
Ca1F2_115_2831.vasp,Ca1F2,-10.03314228,-9.84242582,-3.280808606666666,2831
Ca1F2_164_2832.vasp,Ca1F2,-10.75312873,-10.56241227,-3.52080409,2832
Ca1F2_187_2833.vasp,Ca1F2,-9.99542959,-9.80471313,-3.26823771,2833
Ca1Fe1S1O1_156_2834.vasp,Ca1Fe1S1O1,-11.65938688,-8.737733882499999,-2.184433470625,2834
Ca1Ga1Ag1S1I2_1_2835.vasp,Ca1Ga1Ag1S1I2,-7.09022281,-3.6440688775,-0.6073448129166666,2835
Ca1Ga1S1I1Cl1_1_2836.vasp,Ca1Ga1S1I1Cl1,-9.36097359,-6.619710123125,-1.323942024625,2836
Ca1Ge1Br2_8_2838.vasp,Ca1Ge1Br2,-5.69630893,-5.042778054999999,-1.26069451375,2838
Ca1Ge2_164_2839.vasp,Ca1Ge2,-4.84838523,-3.96403025,-1.3213434166666669,2839
Ca1H12Au2_115_2840.vasp,Ca1H12Au2,-34.99195558,-18.10176056,-1.2067840373333334,2840
Ca1H1Cl1O1_156_2841.vasp,Ca1H1Cl1O1,-14.51177233,-11.445242105625,-2.8613105264062497,2841
Ca1H1I1O1_6_2842.vasp,Ca1H1I1O1,-12.29453899,-9.54886037,-2.3872150925,2842
Ca1H2O2_156_2843.vasp,Ca1H2O2,-21.28372271,-15.61901307,-3.123802614,2843
Ca1H2O2_164_2844.vasp,Ca1H2O2,-22.19617195,-16.531462310000002,-3.3062924620000005,2844
Ca1H2S2_1_2845.vasp,Ca1H2S2,-15.84864226,-9.875328915,-1.975065783,2845
Ca1H2Se2_5_2846.vasp,Ca1H2Se2,-13.49456832,-6.54384426,-1.308768852,2846
Ca1H4O4_65_2847.vasp,Ca1H4O4,-35.01053726,-24.13493954,-2.681659948888889,2847
Ca1I2_115_2848.vasp,Ca1I2,-2.87588036,-3.04923276,-1.01641092,2848
